Black-bellied Whistling-Duck,0
Fulvous Whistling-Duck,0
Taiga Bean-Goose,0
Tundra Bean-Goose,0
Pink-footed Goose,0
Greater White-fronted Goose,0
Lesser White-fronted Goose,0
Graylag Goose,0
Emperor Goose,0
Snow Goose,0
Ross's Goose,0
Brant,0
Barnacle Goose,0
Cackling Goose,0
Canada Goose,0
Mute Swan,0
Trumpeter Swan,0
Tundra Swan,0
Whooper Swan,0
Egyptian Goose,0
Muscovy Duck,0
Wood Duck,0
Gadwall,0
Falcated Duck,0
Eurasian Wigeon,0
American Wigeon,0
American Black Duck,0
Mallard,0
Mottled Duck,0
Eastern Spot-billed Duck,0
Blue-winged Teal,0
Cinnamon Teal,0
Northern Shoveler,0
White-cheeked Pintail,0
Northern Pintail,0
Garganey,0
Baikal Teal,0
Green-winged Teal,0
Canvasback,0
Redhead,0
Common Pochard,0
Ring-necked Duck,0
Tufted Duck,0
Greater Scaup,0
Lesser Scaup,0
Steller's Eider,0
Spectacled Eider,0
King Eider,0
Common Eider,0
Harlequin Duck,0
Labrador Duck,0
Surf Scoter,0
White-winged Scoter,0
Common Scoter,0
Black Scoter,0
Long-tailed Duck,0
Bufflehead,0
Common Goldeneye,0
Barrow's Goldeneye,0
Smew,0
Hooded Merganser,0
Common Merganser,0
Red-breasted Merganser,0
Masked Duck,0
Ruddy Duck,0
Plain Chachalaca,0
Mountain Quail,0
Northern Bobwhite,0
Scaled Quail,0
California Quail,0
Gambel's Quail,0
Montezuma Quail,0
Chukar,0
Himalayan Snowcock,0
Gray Partridge,0
Ring-necked Pheasant,0
Ruffed Grouse,0
Greater Sage-Grouse,0
Gunnison Sage-Grouse,0
Spruce Grouse,0
Willow Ptarmigan,0
Rock Ptarmigan,0
White-tailed Ptarmigan,0
Dusky Grouse,0
Sooty Grouse,0
Sharp-tailed Grouse,0
Greater Prairie-Chicken,0
Lesser Prairie-Chicken,0
Wild Turkey,0
American Flamingo,0
Least Grebe,0
Pied-billed Grebe,0
Horned Grebe,0
Red-necked Grebe,0
Eared Grebe,0
Western Grebe,0
Clark's Grebe,0
Rock Pigeon,0
Scaly-naped Pigeon,0
White-crowned Pigeon,0
Red-billed Pigeon,0
Band-tailed Pigeon,0
Oriental Turtle-Dove,0
European Turtle-Dove,0
Eurasian Collared-Dove,0
Spotted Dove,0
Passenger Pigeon,0
Inca Dove,0
Common Ground-Dove,0
Ruddy Ground-Dove,0
Ruddy Quail-Dove,0
Key West Quail-Dove,0
White-tipped Dove,0
White-winged Dove,0
Zenaida Dove,0
Mourning Dove,0
Common Cuckoo,0
Oriental Cuckoo,0
Yellow-billed Cuckoo,0
Mangrove Cuckoo,0
Black-billed Cuckoo,0
Greater Roadrunner,0
Smooth-billed Ani,0
Groove-billed Ani,0
Lesser Nighthawk,0
Common Nighthawk,0
Antillean Nighthawk,0
Common Pauraque,0
Common Poorwill,0
Chuck-will's-widow,0
Buff-collared Nightjar,0
Eastern Whip-poor-will,0
Mexican Whip-poor-will,0
Gray Nightjar,0
Black Swift,0
White-collared Swift,0
Chimney Swift,0
Vaux's Swift,0
White-throated Needletail,0
Common Swift,0
Fork-tailed Swift,0
White-throated Swift,0
Antillean Palm-Swift,0
Mexican Violetear,0
Green-breasted Mango,0
Magnificent Hummingbird,0
Plain-capped Starthroat,0
Blue-throated Hummingbird,0
Bahama Woodstar,0
Lucifer Hummingbird,0
Ruby-throated Hummingbird,0
Black-chinned Hummingbird,0
Anna's Hummingbird,0
Costa's Hummingbird,0
Bumblebee Hummingbird,0
Broad-tailed Hummingbird,0
Rufous Hummingbird,0
Allen's Hummingbird,0
Calliope Hummingbird,0
Broad-billed Hummingbird,0
Berylline Hummingbird,0
Buff-bellied Hummingbird,0
Cinnamon Hummingbird,0
Violet-crowned Hummingbird,0
White-eared Hummingbird,0
Xantus's Hummingbird,0
Yellow Rail,0
Black Rail,0
Corn Crake,0
Ridgway's Rail,0
Clapper Rail,0
King Rail,0
Virginia Rail,0
Rufous-necked Wood-Rail,0
Sora,0
Paint-billed Crake,0
Spotted Rail,0
Purple Swamphen,0
Purple Gallinule,0
Common Gallinule,0
Common Moorhen,0
Eurasian Coot,0
American Coot,0
Sungrebe,0
Limpkin,0
Sandhill Crane,0
Common Crane,0
Whooping Crane,0
Double-striped Thick-knee,0
Black-winged Stilt,0
Black-necked Stilt,0
American Avocet,0
Eurasian Oystercatcher,0
American Oystercatcher,0
Black Oystercatcher,0
Northern Lapwing,0
Black-bellied Plover,0
European Golden-Plover,0
American Golden-Plover,0
Pacific Golden-Plover,0
Lesser Sand-Plover,0
Greater Sand-Plover,0
Collared Plover,0
Snowy Plover,0
Wilson's Plover,0
Common Ringed Plover,0
Semipalmated Plover,0
Piping Plover,0
Little Ringed Plover,0
Killdeer,0
Mountain Plover,0
Eurasian Dotterel,0
Northern Jacana,0
Upland Sandpiper,0
Little Curlew,0
Eskimo Curlew,0
Whimbrel,0
Bristle-thighed Curlew,0
Far Eastern Curlew,0
Slender-billed Curlew,0
Eurasian Curlew,0
Long-billed Curlew,0
Black-tailed Godwit,0
Hudsonian Godwit,0
Bar-tailed Godwit,0
Marbled Godwit,0
Ruddy Turnstone,0
Black Turnstone,0
Great Knot,0
Red Knot,0
Surfbird,0
Ruff,0
Broad-billed Sandpiper,0
Sharp-tailed Sandpiper,0
Stilt Sandpiper,0
Curlew Sandpiper,0
Temminck's Stint,0
Long-toed Stint,0
Spoon-billed Sandpiper,0
Red-necked Stint,0
Sanderling,0
Dunlin,0
Rock Sandpiper,0
Purple Sandpiper,0
Baird's Sandpiper,0
Little Stint,0
Least Sandpiper,0
White-rumped Sandpiper,0
Buff-breasted Sandpiper,0
Pectoral Sandpiper,0
Semipalmated Sandpiper,0
Western Sandpiper,0
Short-billed Dowitcher,0
Long-billed Dowitcher,0
Jack Snipe,0
Wilson's Snipe,0
Common Snipe,0
Pin-tailed Snipe,0
Solitary Snipe,0
Eurasian Woodcock,0
American Woodcock,0
Terek Sandpiper,0
Common Sandpiper,0
Spotted Sandpiper,0
Green Sandpiper,0
Solitary Sandpiper,0
Gray-tailed Tattler,0
Wandering Tattler,0
Spotted Redshank,0
Greater Yellowlegs,0
Common Greenshank,0
Willet,0
Lesser Yellowlegs,0
Marsh Sandpiper,0
Wood Sandpiper,0
Common Redshank,0
Wilson's Phalarope,0
Red-necked Phalarope,0
Red Phalarope,0
Oriental Pratincole,0
Great Skua,0
South Polar Skua,0
Pomarine Jaeger,0
Parasitic Jaeger,0
Long-tailed Jaeger,0
Dovekie,0
Common Murre,0
Thick-billed Murre,0
Razorbill,0
Great Auk,0
Black Guillemot,0
Pigeon Guillemot,0
Long-billed Murrelet,0
Marbled Murrelet,0
Kittlitz's Murrelet,0
Scripps's Murrelet,0
Guadalupe Murrelet,0
Craveri's Murrelet,0
Ancient Murrelet,0
Cassin's Auklet,0
Parakeet Auklet,0
Least Auklet,0
Whiskered Auklet,0
Crested Auklet,0
Rhinoceros Auklet,0
Atlantic Puffin,0
Horned Puffin,0
Tufted Puffin,0
Swallow-tailed Gull,0
Black-legged Kittiwake,0
Red-legged Kittiwake,0
Ivory Gull,0
Sabine's Gull,0
Bonaparte's Gull,0
Gray-hooded Gull,0
Black-headed Gull,0
Little Gull,0
Ross's Gull,0
Laughing Gull,0
Franklin's Gull,0
Belcher's Gull,0
Black-tailed Gull,0
Heermann's Gull,0
Mew Gull,0
Ring-billed Gull,0
Western Gull,0
Yellow-footed Gull,0
California Gull,0
Herring Gull,0
Yellow-legged Gull,0
Thayer's Gull,0
Iceland Gull,0
Lesser Black-backed Gull,0
Slaty-backed Gull,0
Glaucous-winged Gull,0
Glaucous Gull,0
Great Black-backed Gull,0
Kelp Gull,0
Brown Noddy,0
Black Noddy,0
Sooty Tern,0
Bridled Tern,0
Aleutian Tern,0
Least Tern,0
Large-billed Tern,0
Gull-billed Tern,0
Caspian Tern,0
Black Tern,0
White-winged Tern,0
Whiskered Tern,0
Roseate Tern,0
Common Tern,0
Arctic Tern,0
Forster's Tern,0
Royal Tern,0
Sandwich Tern,0
Elegant Tern,0
Black Skimmer,0
White-tailed Tropicbird,0
Red-billed Tropicbird,0
Red-tailed Tropicbird,0
Red-throated Loon,0
Arctic Loon,0
Pacific Loon,0
Common Loon,0
Yellow-billed Loon,0
Yellow-nosed Albatross,0
White-capped Albatross,0
Salvin's Albatross,0
Black-browed Albatross,0
Light-mantled Albatross,0
